mrna_id,Pfs1,Pfs10,Pfs11,Pfs12,Pfs13,Pfs14,Pfs15,Pfs16,Pfs2,Pfs3,Pfs4,Pfs5,Pfs6,Pfs7,Pfs8,Pfs9
0002af31-b574-4b96-b942-b78a19cf20c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006c6862-aaa3-435d-82ca-052cd37976dd,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
007037d5-2cc8-40ce-8cda-7c2499177a04,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1
009ab7fa-64ad-4706-81c1-202d47c78a26,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1
0182b31a-9f05-4237-ad52-126674f3e8ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01ccba92-96a3-44de-929b-9d00ef533387,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1
027226a9-6caf-4e2d-a85c-cf68b4866c45,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0
02cd6dc4-0657-4d91-bbe9-c5a95de3a7f1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
032767df-5308-43bf-8b1f-26a3c7cf4791,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
033ffbb3-ada8-4d36-80b8-098e8eaf3b7b,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
0470d8ab-a104-4dab-b18f-3a3ba4df144e,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
04df1ab8-8f32-4a44-9a96-47cbd40f3ea4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
063abbfb-9f30-4921-8aa5-df269d39afae,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
0659f376-edd5-4328-822a-a4664acbd64a,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0694dde4-7ddf-4aa6-97ce-fa2cbf75761b,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
06fa8656-4f6a-48aa-a7a1-8c38e1da7328,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
07ca2bf2-9203-4592-b722-ff41eb2d2179,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
07df619e-d030-4d8d-a2d3-03602b9ac52f,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0
07e27e38-3602-450a-a1ef-7d8dbab5cdcd,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
097be3aa-63e3-462d-a60b-c3bf2ca0717b,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0a042fb1-2c3f-4dab-9fa2-d5d7244ddeb8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
0a99dfad-eed7-4a3f-aec5-42e29689b214,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1
0b1b16c6-50d3-44e5-b315-bbd16a306e95,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
